date;pre;pet;sol
01/12/2007;63.8;3.970279;592.1
02/12/2007;4.6;3.970279;592.1
03/12/2007;0;3.970279;592.1
04/12/2007;0.6;3.970279;592.1
05/12/2007;0.8;3.970279;592.1
06/12/2007;1;3.970279;592.1
07/12/2007;3.8;3.970279;592.1
08/12/2007;21;3.970279;592.1
09/12/2007;16;3.970279;592.1
10/12/2007;7.4;3.970279;592.1
11/12/2007;1.2;3.970279;592.1
12/12/2007;3;3.970279;592.1
13/12/2007;4.4;3.970279;592.1
14/12/2007;55.6;3.970279;592.1
15/12/2007;15.4;3.970279;592.1
16/12/2007;46.2;3.970279;592.1
17/12/2007;66.2;3.970279;592.1
18/12/2007;3.4;3.970279;592.1
19/12/2007;17.2;3.970279;592.1
20/12/2007;2.6;3.970279;592.1
21/12/2007;3;3.970279;592.1
22/12/2007;13.4;3.970279;592.1
23/12/2007;16.8;3.970279;592.1
